TimeOnPage,PagesViewed,ProductsViewed,AddedToCart,TrafficSource,Purchase
14,13,9,8,Ads,0
31,10,14,8,Email,0
3,3,23,5,Organic,1
34,2,47,2,Referral,0
1,5,46,7,Ads,0
40,11,34,0,Ads,0
50,10,18,5,Ads,1
18,5,20,5,Email,0
50,13,33,2,Ads,0
1,8,36,4,Organic,0
2,16,5,7,Organic,1
56,17,35,9,Ads,0
18,10,36,0,Referral,1
12,18,4,3,Email,1
3,1,49,3,Email,1
20,14,8,8,Email,1
53,16,49,6,Referral,1
30,5,21,4,Referral,0
37,17,47,5,Ads,0
10,3,28,5,Ads,0
56,12,6,4,Referral,1
53,13,28,6,Email,1
25,18,36,8,Referral,1
9,5,40,5,Organic,1
44,13,30,3,Ads,1
39,5,15,1,Ads,0
45,2,20,2,Email,0
21,17,43,5,Organic,1
4,18,44,2,Email,0
41,10,43,6,Referral,1
6,16,43,0,Email,1
55,10,8,8,Organic,1
56,8,20,8,Organic,0
6,6,34,4,Referral,0
22,8,20,2,Ads,0
38,17,13,0,Organic,0
28,8,38,2,Referral,1
33,12,48,5,Email,1
59,13,43,5,Email,0
22,12,27,0,Referral,0
9,14,38,4,Referral,1
7,15,45,0,Referral,1
17,13,27,8,Ads,0
48,8,32,1,Referral,0
21,13,36,0,Ads,0
42,12,26,5,Referral,0
56,12,12,1,Email,1
29,7,8,6,Organic,0
19,9,26,4,Referral,1
22,13,8,3,Organic,1
28,2,43,0,Organic,1
6,19,13,8,Email,0
9,5,20,0,Ads,0
16,7,18,9,Organic,0
40,2,6,8,Referral,1
4,8,41,0,Email,0
58,4,11,5,Organic,1
49,19,44,5,Ads,1
45,2,14,9,Ads,0
10,8,49,0,Email,1
9,15,41,7,Email,1
42,1,32,8,Email,1
49,9,7,9,Referral,0
19,10,47,4,Referral,1
55,4,36,3,Email,0
51,4,6,2,Referral,1
41,4,5,8,Ads,0
15,2,39,2,Organic,1
45,17,12,6,Email,0
46,6,4,1,Organic,1
20,11,16,9,Ads,0
43,2,47,7,Organic,0
2,16,17,2,Organic,0
35,8,10,8,Email,0
59,6,37,3,Ads,1
29,15,39,0,Ads,1
8,19,44,1,Referral,1
43,19,44,2,Email,0
6,17,22,3,Organic,0
17,13,45,2,Organic,0
29,15,40,3,Ads,0
51,10,32,2,Email,1
53,10,43,8,Referral,0
10,19,48,7,Ads,0
57,7,8,2,Ads,1
51,3,47,6,Email,0
5,17,9,0,Organic,0
31,12,2,1,Referral,0
31,11,47,8,Email,0
52,10,49,9,Ads,0
13,1,17,5,Ads,1
33,3,7,0,Referral,0
44,8,31,7,Ads,1
54,5,12,5,Organic,0
20,11,42,1,Ads,0
40,4,21,7,Organic,1
30,12,36,0,Ads,1
38,7,23,2,Referral,1
44,3,11,5,Ads,0
44,1,15,5,Email,1
46,10,13,9,Ads,1
30,15,23,6,Email,1
27,10,5,5,Referral,1
34,9,40,7,Referral,1
34,14,38,4,Ads,1
37,4,7,0,Referral,0
2,17,37,8,Email,1
24,6,10,3,Organic,0
23,5,47,4,Email,0
38,1,9,0,Ads,1
50,8,12,0,Organic,0
30,17,9,6,Referral,1
5,18,46,0,Ads,0
22,14,29,9,Ads,1
16,8,41,7,Email,1
40,7,23,7,Email,1
9,9,44,3,Organic,1
53,10,28,9,Referral,0
43,16,47,7,Referral,0
37,14,18,8,Ads,1
57,14,30,8,Email,0
49,1,19,8,Email,1
57,11,19,3,Referral,1
39,14,24,6,Referral,0
59,2,20,3,Referral,1
40,6,2,6,Organic,0
54,4,1,0,Ads,0
19,5,43,7,Email,1
49,18,16,5,Organic,1
8,1,16,6,Referral,1
28,14,8,8,Ads,0
29,19,31,1,Referral,1
26,16,31,7,Referral,0
2,10,24,0,Organic,1
8,5,37,7,Ads,1
